#Label,#Lead1,#Lead2,#Surface Area
LF1_LF2,1,2,5.031
LF2_LF3,2,3,5.031
LF3_LF4,3,4,5.031
LF4_LF5,4,5,5.031
LF5_LF6,5,6,5.031
LF6_LF7,6,7,5.031
LF7_LF8,7,8,5.031
LPMS1_LPMS2,9,10,0.001
LPMS2_LPMS3,10,11,0.001
LPMS3_LPMS4,11,12,0.001
LPMS4_LPMS5,12,13,0.001
LPMS5_LPMS6,13,14,0.001
LPMS6_LPMS7,14,15,0.001
LPMS7_LPMS8,15,16,0.001
LPMS8_LPMS9,16,17,0.001
LPMS9_LPMS10,17,18,0.001
LPMI1_LPMI2,19,20,0.001
LPMI2_LPMI3,20,21,0.001
LPMI3_LPMI4,21,22,0.001
LPMI4_LPMI5,22,23,0.001
LPMI5_LPMI6,23,24,0.001
LPMI6_LPMI7,24,25,0.001
LPMI7_LPMI8,25,26,0.001
LPMI8_LPMI9,26,27,0.001
LPMI9_LPMI10,27,28,0.001
LPMI10_LPMI11,28,29,0.001
LPMI11_LPMI12,29,30,0.001
LPMI12_LPMI13,30,31,0.001
LPMI13_LPMI14,31,32,0.001
LS1_LS2,33,34,0.001
LS2_LS3,34,35,0.001
LS3_LS4,35,36,0.001
LS4_LS5,36,37,0.001
LS5_LS6,37,38,0.001
LS6_LS7,38,39,0.001
LS7_LS8,39,40,0.001
LS8_LS9,40,41,0.001
LS9_LS10,41,42,0.001
LS10_LS11,42,43,0.001
LS11_LS12,43,44,0.001
LM1_LM2,45,46,0.001
LM2_LM3,46,47,0.001
LM3_LM4,47,48,0.001
LM4_LM5,48,49,0.001
LM5_LM6,49,50,0.001
LM6_LM7,50,51,0.001
LM7_LM8,51,52,0.001
RPST1_RPST2,53,54,0.001
RPST2_RPST3,54,55,0.001
RPST3_RPST4,55,56,0.001
RPST4_RPST5,56,57,0.001
RPST5_RPST6,57,58,0.001
RPST6_RPST7,58,59,0.001
RPST7_RPST8,59,60,0.001
RPST8_RPST9,60,61,0.001
RPST9_RPST10,61,62,0.001
EKG1_EKG2,63,64,0.001
RJ1_RJ2,65,66,0.001
RJ2_RJ3,66,67,0.001
RJ3_RJ4,67,68,0.001
RJ4_RJ5,68,69,0.001
RJ5_RJ6,69,70,0.001
RJ6_RJ7,70,71,0.001
RJ7_RJ8,71,72,0.001
RJ8_RJ9,72,73,0.001
RJ9_RJ10,73,74,0.001
RJ10_RJ11,74,75,0.001
RJ11_RJ12,75,76,0.001
RJ12_RJ13,76,77,0.001
RJ13_RJ14,77,78,0.001
RJ14_RJ15,78,79,0.001
RJ15_RJ16,79,80,0.001
RS1_RS2,81,82,0.001
RS2_RS3,82,83,0.001
RS3_RS4,83,84,0.001
RS4_RS5,84,85,0.001
RS5_RS6,85,86,0.001
RS6_RS7,86,87,0.001
RS7_RS8,87,88,0.001
RS8_RS9,88,89,0.001
RS9_RS10,89,90,0.001
RMS1_RMS2,91,92,0.001
RMS2_RMS3,92,93,0.001
RMS3_RMS4,93,94,0.001
RMS4_RMS5,94,95,0.001
RMS5_RMS6,95,96,0.001
RMS6_RMS7,96,97,0.001
RMS7_RMS8,97,98,0.001
RMS8_RMS9,98,99,0.001
RMS9_RMS10,99,100,0.001
RPMS1_RPMS2,101,102,0.001
RPMS2_RPMS3,102,103,0.001
RPMS3_RPMS4,103,104,0.001
RPMS4_RPMS5,104,105,0.001
RPMS5_RPMS6,105,106,0.001
RPMS6_RPMS7,106,107,0.001
RPMS7_RPMS8,107,108,0.001
RMI1_RMI2,109,110,0.001
RMI2_RMI3,110,111,0.001
RMI3_RMI4,111,112,0.001
RMI4_RMI5,112,113,0.001
RMI5_RMI6,113,114,0.001
RMI6_RMI7,114,115,0.001
RMI7_RMI8,115,116,0.001
RPMM1_RPMM2,117,118,0.001
RPMM2_RPMM3,118,119,0.001
RPMM3_RPMM4,119,120,0.001
RPMM4_RPMM5,120,121,0.001
RPMM5_RPMM6,121,122,0.001
RPMM6_RPMM7,122,123,0.001
RPMM7_RPMM8,123,124,0.001
RPMM8_RPMM9,124,125,0.001
RPMM9_RPMM10,125,126,0.001
RPMM10_RPMM11,126,127,0.001
RPMM11_RPMM12,127,128,0.001
RFO1_RFO2,129,130,0.001
RFO2_RFO3,130,131,0.001
RFO3_RFO4,131,132,0.001
RFO4_RFO5,132,133,0.001
RFO5_RFO6,133,134,0.001
RFO6_RFO7,134,135,0.001
RFO7_RFO8,135,136,0.001
RFS1_RFS2,137,138,0.001
RFS2_RFS3,138,139,0.001
RFS3_RFS4,139,140,0.001
RFS4_RFS5,140,141,0.001
RFS5_RFS6,141,142,0.001
RPMI1_RPMI2,143,144,0.001
RPMI2_RPMI3,144,145,0.001
RPMI3_RPMI4,145,146,0.001
RPMI4_RPMI5,146,147,0.001
RPMI5_RPMI6,147,148,0.001
RPMI6_RPMI7,148,149,0.001
RPMI7_RPMI8,149,150,0.001
RPMI8_RPMI9,150,151,0.001
RPMI9_RPMI10,151,152,0.001
RFI1_RFI2,153,154,0.001
RFI2_RFI3,154,155,0.001
RFI3_RFI4,155,156,0.001
RFI4_RFI5,156,157,0.001
RFI5_RFI6,157,158,0.001
RFI6_RFI7,158,159,0.001
RFI7_RFI8,159,160,0.001
RFI8_RFI9,160,161,0.001
RFI9_RFI10,161,162,0.001
RFI10_RFI11,162,163,0.001
RFI11_RFI12,163,164,0.001
RFI12_RFI13,164,165,0.001
RFI13_RFI14,165,166,0.001
ROFC1_ROFC2,167,168,0.001
ROFC2_ROFC3,168,169,0.001
ROFC3_ROFC4,169,170,0.001
ROFC4_ROFC5,170,171,0.001
ROFC5_ROFC6,171,172,0.001
ROFC6_ROFC7,172,173,0.001
ROFC7_ROFC8,173,174,0.001
ROFC8_ROFC9,174,175,0.001
ROFC9_ROFC10,175,176,0.001
ROFC10_ROFC11,176,177,0.001
ROFC11_ROFC12,177,178,0.001
ROFC12_ROFC13,178,179,0.001
ROFC13_ROFC14,179,180,0.001
